serial_id,category,brand,model,specifications,unit,price_tk,price_usd,stock_qty,notes
B-001,Circuit Breaker (MCB),C & S / India,CSMBS1DC16,"PV DC MCB SP 220VDC Curve C | Pole: SP,MCB | Rating: 16A | Icu: 10kA | Protection: Thermo-Magnetic | Range: Fixed",Pcs,390.6,,0,
B-002,Circuit Breaker (MCB),C & S / India,CSMBS1DC20,"PV DC MCB SP 220VDC Curve C | Pole: SP,MCB | Rating: 20A | Icu: 10kA | Protection: Thermo-Magnetic | Range: Fixed",Pcs,390.6,,0,
B-003,Circuit Breaker (MCB),C & S / India,CSMBS2DC06,"PV DC MCB DP 220VDC Curve C | Pole: DP,MCB | Rating: 6A | Icu: 10kA | Protection: Thermo-Magnetic | Range: Fixed",Pcs,732.375,,0,
B-004,Circuit Breaker (MCB),C & S / India,CSMBS2DC10,"PV DC MCB DP 220VDC Curve C | Pole: DP,MCB | Rating: 10A | Icu: 10kA | Protection: Thermo-Magnetic | Range: Fixed",Pcs,732.375,,0,
B-005,Circuit Breaker (MCB),C & S / India,CSMBS2DC16,"PV DC MCB DP 220VDC Curve C | Pole: DP,MCB | Rating: 16A | Icu: 10kA | Protection: Thermo-Magnetic | Range: Fixed",Pcs,732.375,,0,
B-006,Circuit Breaker (MCB),C & S / India,CSMBS2DC20,"PV DC MCB DP 220VDC Curve C | Pole: DP,MCB | Rating: 20A | Icu: 10kA | Protection: Thermo-Magnetic | Range: Fixed",Pcs,732.375,,0,
B-007,Circuit Breaker (MCB),C & S / India,CSMBS2DC25,"PV DC MCB DP 220VDC Curve C | Pole: DP,MCB | Rating: 25A | Icu: 10kA | Protection: Thermo-Magnetic | Range: Fixed",Pcs,732.375,,0,
B-008,Circuit Breaker (MCB),C & S / India,CSMBS2DC32,"PV DC MCB DP 220VDC Curve C | Pole: DP,MCB | Rating: 32A | Icu: 10kA | Protection: Thermo-Magnetic | Range: Fixed",Pcs,732.375,,0,
B-009,Circuit Breaker (MCB),C & S / India,CSMBS2DC40,"PV DC MCB DP 220VDC Curve C | Pole: DP,MCB | Rating: 40A | Icu: 10kA | Protection: Thermo-Magnetic | Range: Fixed",Pcs,854.4375,,0,
B-010,Circuit Breaker (MCB),C & S / India,CSMBS2DC50,"PV DC MCB DP 220VDC Curve C | Pole: DP,MCB | Rating: 50A | Icu: 10kA | Protection: Thermo-Magnetic | Range: Fixed",Pcs,976.5,,0,
B-011,Circuit Breaker (MCB),C & S / India,CSMBS2DC63,"PV DC MCB DP 220VDC Curve C | Pole: DP,MCB | Rating: 50A | Icu: 10kA | Protection: Thermo-Magnetic | Range: Fixed",Pcs,976.5,,0,
B-012,DC Isolator,C & S / India,CSMBS2IS80,"MCB DC Isolator DP 220VDC | Pole: DP,MCB | Rating: 80A | Range: Fixed",Pcs,732.375,,0,
B-013,MCCB,C & S / India,CSE1M125ATM3P-80A,"MCCB 415V 3P 50HZ (Adjustable) | Pole: 3P,MCCB | Rating: 80A | Icu: 25kA | Protection: Thermo-Magnetic | Range: Adjustable",Pcs,7323.75,,0,
B-014,Fuse with Holder,EATON Bussmann / Ireland,CHPV/CHPV1IU/SOLAR-PV,"PV DC Fuse with Holder SP 1000VDC | Pole: SP | Rating: 15A/20A-30A | Icu: 50kA | Size: 10x38MM | Interrupting: 1.3 x In",Pcs,471.975,,0,
B-015,Fuse,EATON Bussmann / Ireland,PV-15A10F/15A,"PV DC Fuse SP 1000VDC | Pole: SP | Rating: 15A | Icu: 50kA | Size: 10x38MM | Interrupting: 1.3 x In",Pcs,216.5625,,0,
B-016,Fuse,EATON Bussmann / Ireland,PV-20A10F/20A,"PV DC Fuse SP 1000VDC | Pole: SP | Rating: 20A | Icu: 50kA | Size: 10x38MM | Interrupting: 1.3 x In",Pcs,240.625,,0,
